e,1,6,0	0	w,2,3,0	s,2,6,0	e,2,6,0	e,2,3,0	0	e,1,1,0	w,1,6,0	e,1,6,0	w,1,6,0	e,1,1,0	e,1,6,0	e,1,1,0	w,1,6,0
n,1,6,0	0	0	s,2,6,0	e,2,1,0	n,2,6,0	0	s,1,6,0	0	0	0	n,1,6,0	e,1,1,0	s,1,6,0	w,1,1,0
s,1,6,0	0	0	e,2,6,0	w,2,6,0	0	0	s,1,6,0	0	0	0	w,1,6,0	n,1,6,0	e,1,6,0	s,1,6,0
n,1,6,0	0	0	0	0	0	0	n,1,6,0	0	0	0	0	0	w,1,2,0	s,1,1,0
n,1,6,0	0	0	0	0	0	0	n,1,6,0	0	0	0	0	0	0	n,1,6,0
n,1,1,0	e,1,6,0	e,1,1,0	w,1,6,0	w,1,1,0	n,1,6,0	n,1,1,0	n,1,1,0	n,1,1,0	w,1,6,0	0	0	0	0	s,1,6,0
n,1,6,0	0	0	0	n,1,6,0	n,1,1,0	s,1,6,0	s,1,6,0	s,1,6,0	w,1,1,0	0	0	0	0	s,1,1,0
n,1,6,0	0	0	0	n,1,6,0	n,1,6,0	e,1,6,0	s,1,6,0	w,1,6,0	n,1,6,0	0	0	0	0	n,1,6,0
n,1,1,0	0	0	0	0	0	0	n,1,6,0	0	0	0	0	0	0	n,1,6,0
n,1,6,0	0	0	0	0	0	0	n,1,6,0	0	0	0	n,2,1,0	e,2,6,0	n,2,1,0	0
n,1,1,0	n,1,1,0	s,1,6,0	0	0	0	0	n,1,6,0	0	0	0	n,2,6,0	e,2,1,0	s,2,6,0	n,2,3,0
n,1,1,0	e,1,6,0	e,1,6,0	n,1,1,0	n,1,1,0	e,1,6,0	w,1,6,0	n,1,1,0	e,1,6,0	0	w,2,3,0	w,2,6,0	n,2,6,0	e,2,6,0	s,2,6,0
